序号,code,name,eps,revenue,rev_yoy,营业总收入-季度环比增长,profit,profit_yoy,净利润-季度环比增长,bps,roe,ocf_ps,gross_margin,industry,ann_date,rev_yi,profit_yi,cash_ratio,小基数,信号分,命中词,文件数,kf_pct,kf_yi,np_yi,period_used,扣非占比,判定
1938,300475,香农芯创,7.82,60204416155.57,251.5961898232,53.3369,3641509573.03,2207.2,74.3308,15.204558556385,68.13,12.206199305758,11.6079405586,其他电子Ⅱ,2026-08-28,602.04,36.415,1.5608950518872122,True,5,高景气,1,2163.51,35.31,36.42,2026-06-30,0.97,✅真主营增长
1917,300613,富瀚微,1.52,1463157174.3,112.655090463,61.7191,349770671.07,1419.2,211.1253,13.63390817571,11.3,-0.37222762889,45.2767064609,半导体,2026-08-28,14.63,3.498,-0.2448865979539473,True,4,量价齐升,1,2094.6,3.35,3.5,2026-06-30,0.957,✅真主营增长
779,300672,国科微,0.9016,1377572394.55,85.8116429823,17.5272,195749422.82,872.78,156.2944,18.473877115907,5.02,3.238642315611,40.6092596377,半导体,2026-08-29,13.78,1.957,3.592105496462955,False,5,高景气,1,1917.55,1.75,1.96,2026-06-30,0.893,✅真主营增长
7763,301511,德福科技,0.4191,9196561806.87,73.5399231986,12.0072,263458191.26,580.66,-21.0529,6.704924213434,6.31,-0.972301741903,9.1224974836,电池,2026-08-22,91.97,2.635,-2.3199755235099024,False,13,产能利用率、供不应求、需求旺盛,3,1916.9,2.36,2.63,2026-06-30,0.897,✅真主营增长
7693,601869,长飞光纤,3.56,9808962180.0,53.637732146,65.4399,2924540887.0,888.88,390.6592,19.765986121926,19.22,2.205710646491,53.3612070059,通信设备,2026-08-22,98.09,29.245,0.6195816422727528,False,4,订单饱满,1,1680.48,24.49,29.25,2026-06-30,0.837,✅真主营增长
5423,002497,雅化集团,1.0634,6708819668.64,96.0196275236,37.0425,1215825634.91,795.48,158.8398,10.559598446538,10.73,-0.358466823283,31.696957063,化学制品,2026-08-26,67.09,12.158,-0.3370950002661275,False,8,供给偏紧、供需偏紧,1,1536.48,12.33,12.16,2026-06-30,1.014,✅真主营增长
1959,300302,同有科技,0.5379,260760748.47,50.1224797904,14.2556,257794222.26,1502.54,95.7006,2.681936863401,22.42,-0.200297662458,49.1009842092,计算机设备,2026-08-28,2.61,2.578,-0.3723697015393195,True,29,产能利用率、价格中枢、供不应求、供给偏紧、供需偏紧、量价齐升、需求旺盛,4,1462.62,2.56,2.58,2026-06-30,0.992,✅真主营增长
10235,002192,融捷股份,3.8574,1524205167.81,402.3507799318,205.1657,1001599511.84,1076.14,160.3236,17.513379768939,24.58,1.702953500223,76.3610647268,能源金属,2026-08-18,15.24,10.016,0.4414770312186965,True,3,产能爬坡,1,1264.95,10.04,10.02,2026-06-30,1.002,✅真主营增长
10204,300390,天华新能,2.76,7780065437.36,125.0015560468,43.1156,2292289086.36,2622.89,36.5852,16.519305096007,18.34,0.214730902464,43.4926349114,电池,2026-08-18,77.8,22.923,0.0778010516173913,True,4,需求旺盛,1,1231.32,22.67,22.92,2026-06-30,0.989,✅真主营增长
8712,002709,天赐材料,1.41,14709500811.92,109.2767908568,20.4174,2860942286.52,967.91,-27.0712,9.949974480802,15.0,0.194859968392,33.5497255866,电池,2026-08-21,147.1,28.609,0.1381985591432624,False,8,产能利用率、需求旺盛,1,1096.69,28.07,28.61,2026-06-30,0.981,✅真主营增长
913,002975,博杰股份,0.83,1121662766.29,66.8401805729,39.8855,171014100.87,746.94,59.4946,11.869385803498,7.19,0.475722572134,49.3459165415,自动化设备,2026-08-29,11.22,1.71,0.5731597254626506,False,26,产能利用率、供不应求、在手订单、量价齐升、需求旺盛、高景气,4,1074.51,1.68,1.71,2026-06-30,0.982,✅真主营增长
366,688498,源杰科技,4.89,925150462.56,351.4010703617,60.4015,607072892.98,1212.2,138.3115,25.234389075946,22.1,3.917049146044,80.4246767203,半导体,2026-08-29,9.25,6.071,0.801032545203272,True,6,产能爬坡、超预期,1,1033.7,5.14,6.07,2026-06-30,0.847,✅真主营增长
5441,002326,永太科技,0.296,3746224420.1,43.571159474,21.3106,273853465.42,365.74,61.6496,3.197662844254,9.75,0.625668561014,25.0072345566,化学制品,2026-08-26,37.46,2.739,2.113745138560811,False,3,提价,1,1005.94,2.49,2.74,2026-06-30,0.909,✅真主营增长
6887,002812,恩捷股份,0.8352,8671187982.67,50.4661972629,21.9006,820321427.54,980.99,115.134,26.524770613799,3.15,1.182715148707,29.893036091,电池,2026-08-25,86.71,8.203,1.416086145482519,False,4,需求旺盛,1,998.29,8.49,8.2,2026-06-30,1.035,✅真主营增长
671,301487,盟固利,0.0651,1570512517.35,54.2884174418,-5.0831,29918448.69,686.93,-49.393,4.185671719426,1.56,0.005021454063,9.9648159891,电池,2026-08-29,15.71,0.299,0.0771344710138248,False,13,产品涨价、产能利用率、供不应求,2,963.24,0.27670300000000003,0.299184,2026-06-30,0.925,✅真主营增长
2050,002636,金安国纪,1.05,3398506484.53,65.7430637284,69.7718,765886985.22,986.66,179.452,5.889161362349,19.39,0.493405911374,33.1371312595,元件,2026-08-28,33.99,7.659,0.4699103917847618,False,9,供不应求、订单饱满,2,955.34,7.7,7.66,2026-06-30,1.005,✅真主营增长
10871,300107,建新股份,0.0851,360266544.82,51.4233572136,36.9838,47870064.02,790.27,528.1059,2.699755736565,3.2,0.045084544259,23.9691416096,化学制品,2026-08-12,3.6,0.479,0.5297831287779083,False,12,产能利用率、供需偏紧、量价齐升,2,940.46,0.47505,0.47870100000000004,2026-06-30,0.992,✅真主营增长
3150,301292,海科新源,1.86,3358646332.39,45.00473462,22.5697,414635348.47,1068.08,5.9252,13.908963316172,14.49,-0.445668480845,20.9131389118,电池,2026-08-27,33.59,4.146,-0.2396067101317204,True,8,供不应求、超预期,2,923.5,4.1,4.15,2026-06-30,0.988,✅真主营增长
